bill_id,sex_payer,size_party,day,time,bill,tip
1,Female,2,Sun,Dinner,16.99,1.01
2,Male,3,Sun,Dinner,10.34,1.66
3,Male,3,Sun,Dinner,21.01,3.5
4,Male,2,Sun,Dinner,23.68,3.31
5,Female,4,Sun,Dinner,24.59,3.61
6,Male,4,Sun,Dinner,25.29,4.71
7,Male,2,Sun,Dinner,8.77,2
8,Male,4,Sun,Dinner,26.88,3.12
9,Male,2,Sun,Dinner,15.04,1.96
10,Male,2,Sun,Dinner,14.78,3.23
11,Male,2,Sun,Dinner,10.27,1.71
12,Female,4,Sun,Dinner,35.26,5
13,Male,2,Sun,Dinner,15.42,1.57
14,Male,4,Sun,Dinner,18.43,3
15,Female,2,Sun,Dinner,14.83,3.02
16,Male,2,Sun,Dinner,21.58,3.92
17,Female,3,Sun,Dinner,10.33,1.67
18,Male,3,Sun,Dinner,16.29,3.71
19,Female,3,Sun,Dinner,16.97,3.5
20,Male,3,Sat,Dinner,20.65,3.35
21,Male,2,Sat,Dinner,17.92,4.08
22,Female,2,Sat,Dinner,20.29,2.75
23,Female,2,Sat,Dinner,15.77,2.23
24,Male,4,Sat,Dinner,39.42,7.58
25,Male,2,Sat,Dinner,19.82,3.18
26,Male,4,Sat,Dinner,17.81,2.34
27,Male,2,Sat,Dinner,13.37,2
28,Male,2,Sat,Dinner,12.69,2
29,Male,2,Sat,Dinner,21.7,4.3
30,Female,2,Sat,Dinner,19.65,3
31,Male,2,Sat,Dinner,9.55,1.45
32,Male,4,Sat,Dinner,18.35,2.5
33,Female,2,Sat,Dinner,15.06,3
34,Female,4,Sat,Dinner,20.69,2.45
35,Male,2,Sat,Dinner,17.78,3.27
36,Male,3,Sat,Dinner,24.06,3.6
37,Male,3,Sat,Dinner,16.31,2
38,Female,3,Sat,Dinner,16.93,3.07
39,Male,3,Sat,Dinner,18.69,2.31
40,Male,3,Sat,Dinner,31.27,5
41,Male,3,Sat,Dinner,16.04,2.24
42,Male,2,Sun,Dinner,17.46,2.54
43,Male,2,Sun,Dinner,13.94,3.06
44,Male,2,Sun,Dinner,9.68,1.32
45,Male,4,Sun,Dinner,30.4,5.6
46,Male,2,Sun,Dinner,18.29,3
47,Male,2,Sun,Dinner,22.23,5
48,Male,4,Sun,Dinner,32.4,6
49,Male,3,Sun,Dinner,28.55,2.05
50,Male,2,Sun,Dinner,18.04,3
51,Male,2,Sun,Dinner,12.54,2.5
52,Female,2,Sun,Dinner,10.29,2.6
53,Female,4,Sun,Dinner,34.81,5.2
54,Male,2,Sun,Dinner,9.94,1.56
55,Male,4,Sun,Dinner,25.56,4.34
56,Male,2,Sun,Dinner,19.49,3.51
57,Male,4,Sat,Dinner,38.01,3
58,Female,2,Sat,Dinner,26.41,1.5
59,Male,2,Sat,Dinner,11.24,1.76
60,Male,4,Sat,Dinner,48.27,6.73
61,Male,2,Sat,Dinner,20.29,3.21
62,Male,2,Sat,Dinner,13.81,2
63,Male,2,Sat,Dinner,11.02,1.98
64,Male,4,Sat,Dinner,18.29,3.76
65,Male,3,Sat,Dinner,17.59,2.64
66,Male,3,Sat,Dinner,20.08,3.15
67,Female,2,Sat,Dinner,16.45,2.47
68,Female,1,Sat,Dinner,3.07,1
69,Male,2,Sat,Dinner,20.23,2.01
70,Male,2,Sat,Dinner,15.01,2.09
71,Male,2,Sat,Dinner,12.02,1.97
72,Female,3,Sat,Dinner,17.07,3
73,Female,2,Sat,Dinner,26.86,3.14
74,Female,2,Sat,Dinner,25.28,5
75,Female,2,Sat,Dinner,14.73,2.2
76,Male,2,Sat,Dinner,10.51,1.25
77,Male,2,Sat,Dinner,17.92,3.08
78,Male,4,Thur,Lunch,27.2,4
79,Male,2,Thur,Lunch,22.76,3
80,Male,2,Thur,Lunch,17.29,2.71
81,Male,2,Thur,Lunch,19.44,3
82,Male,2,Thur,Lunch,16.66,3.4
83,Female,1,Thur,Lunch,10.07,1.83
84,Male,2,Thur,Lunch,32.68,5
85,Male,2,Thur,Lunch,15.98,2.03
86,Female,4,Thur,Lunch,34.83,5.17
87,Male,2,Thur,Lunch,13.03,2
88,Male,2,Thur,Lunch,18.28,4
89,Male,2,Thur,Lunch,24.71,5.85
90,Male,2,Thur,Lunch,21.16,3
91,Male,2,Fri,Dinner,28.97,3
92,Male,2,Fri,Dinner,22.49,3.5
93,Female,2,Fri,Dinner,5.75,1
94,Female,2,Fri,Dinner,16.32,4.3
95,Female,2,Fri,Dinner,22.75,3.25
96,Male,4,Fri,Dinner,40.17,4.73
97,Male,2,Fri,Dinner,27.28,4
98,Male,2,Fri,Dinner,12.03,1.5
99,Male,2,Fri,Dinner,21.01,3
100,Male,2,Fri,Dinner,12.46,1.5
101,Female,2,Fri,Dinner,11.35,2.5
102,Female,2,Fri,Dinner,15.38,3
103,Female,3,Sat,Dinner,44.3,2.5
104,Female,2,Sat,Dinner,22.42,3.48
105,Female,2,Sat,Dinner,20.92,4.08
106,Male,2,Sat,Dinner,15.36,1.64
107,Male,2,Sat,Dinner,20.49,4.06
108,Male,2,Sat,Dinner,25.21,4.29
109,Male,2,Sat,Dinner,18.24,3.76
110,Female,2,Sat,Dinner,14.31,4
111,Male,2,Sat,Dinner,14,3
112,Female,1,Sat,Dinner,7.25,1
113,Male,3,Sun,Dinner,38.07,4
114,Male,2,Sun,Dinner,23.95,2.55
115,Female,3,Sun,Dinner,25.71,4
116,Female,2,Sun,Dinner,17.31,3.5
117,Male,4,Sun,Dinner,29.93,5.07
118,Female,2,Thur,Lunch,10.65,1.5
119,Female,2,Thur,Lunch,12.43,1.8
120,Female,4,Thur,Lunch,24.08,2.92
121,Male,2,Thur,Lunch,11.69,2.31
122,Female,2,Thur,Lunch,13.42,1.68
123,Male,2,Thur,Lunch,14.26,2.5
124,Male,2,Thur,Lunch,15.95,2
125,Female,2,Thur,Lunch,12.48,2.52
126,Female,6,Thur,Lunch,29.8,4.2
127,Male,2,Thur,Lunch,8.52,1.48
128,Female,2,Thur,Lunch,14.52,2
129,Female,2,Thur,Lunch,11.38,2
130,Male,3,Thur,Lunch,22.82,2.18
131,Male,2,Thur,Lunch,19.08,1.5
132,Female,2,Thur,Lunch,20.27,2.83
133,Female,2,Thur,Lunch,11.17,1.5
134,Female,2,Thur,Lunch,12.26,2
135,Female,2,Thur,Lunch,18.26,3.25
136,Female,2,Thur,Lunch,8.51,1.25
137,Female,2,Thur,Lunch,10.33,2
138,Female,2,Thur,Lunch,14.15,2
139,Male,2,Thur,Lunch,16,2
140,Female,2,Thur,Lunch,13.16,2.75
141,Female,2,Thur,Lunch,17.47,3.5
142,Male,6,Thur,Lunch,34.3,6.7
143,Male,5,Thur,Lunch,41.19,5
144,Female,6,Thur,Lunch,27.05,5
145,Female,2,Thur,Lunch,16.43,2.3
146,Female,2,Thur,Lunch,8.35,1.5
147,Female,3,Thur,Lunch,18.64,1.36
148,Female,2,Thur,Lunch,11.87,1.63
149,Male,2,Thur,Lunch,9.78,1.73
150,Male,2,Thur,Lunch,7.51,2
151,Male,2,Sun,Dinner,14.07,2.5
152,Male,2,Sun,Dinner,13.13,2
153,Male,3,Sun,Dinner,17.26,2.74
154,Male,4,Sun,Dinner,24.55,2
155,Male,4,Sun,Dinner,19.77,2
156,Female,5,Sun,Dinner,29.85,5.14
157,Male,6,Sun,Dinner,48.17,5
158,Female,4,Sun,Dinner,25,3.75
159,Female,2,Sun,Dinner,13.39,2.61
160,Male,4,Sun,Dinner,16.49,2
161,Male,4,Sun,Dinner,21.5,3.5
162,Male,2,Sun,Dinner,12.66,2.5
163,Female,3,Sun,Dinner,16.21,2
164,Male,2,Sun,Dinner,13.81,2
165,Female,2,Sun,Dinner,17.51,3
166,Male,3,Sun,Dinner,24.52,3.48
167,Male,2,Sun,Dinner,20.76,2.24
168,Male,4,Sun,Dinner,31.71,4.5
169,Female,2,Sat,Dinner,10.59,1.61
170,Female,2,Sat,Dinner,10.63,2
171,Male,3,Sat,Dinner,50.81,10
172,Male,2,Sat,Dinner,15.81,3.16
173,Male,2,Sun,Dinner,7.25,5.15
174,Male,2,Sun,Dinner,31.85,3.18
175,Male,2,Sun,Dinner,16.82,4
176,Male,2,Sun,Dinner,32.9,3.11
177,Male,2,Sun,Dinner,17.89,2
178,Male,2,Sun,Dinner,14.48,2
179,Female,2,Sun,Dinner,9.6,4
180,Male,2,Sun,Dinner,34.63,3.55
181,Male,4,Sun,Dinner,34.65,3.68
182,Male,2,Sun,Dinner,23.33,5.65
183,Male,3,Sun,Dinner,45.35,3.5
184,Male,4,Sun,Dinner,23.17,6.5
185,Male,2,Sun,Dinner,40.55,3
186,Male,5,Sun,Dinner,20.69,5
187,Female,3,Sun,Dinner,20.9,3.5
188,Male,5,Sun,Dinner,30.46,2
189,Female,3,Sun,Dinner,18.15,3.5
190,Male,3,Sun,Dinner,23.1,4
191,Male,2,Sun,Dinner,15.69,1.5
192,Female,2,Thur,Lunch,19.81,4.19
193,Male,2,Thur,Lunch,28.44,2.56
194,Male,2,Thur,Lunch,15.48,2.02
195,Male,2,Thur,Lunch,16.58,4
196,Male,2,Thur,Lunch,7.56,1.44
197,Male,2,Thur,Lunch,10.34,2
198,Female,4,Thur,Lunch,43.11,5
199,Female,2,Thur,Lunch,13,2
200,Male,2,Thur,Lunch,13.51,2
201,Male,3,Thur,Lunch,18.71,4
202,Female,2,Thur,Lunch,12.74,2.01
203,Female,2,Thur,Lunch,13,2
204,Female,2,Thur,Lunch,16.4,2.5
205,Male,4,Thur,Lunch,20.53,4
206,Female,3,Thur,Lunch,16.47,3.23
207,Male,3,Sat,Dinner,26.59,3.41
208,Male,4,Sat,Dinner,38.73,3
209,Male,2,Sat,Dinner,24.27,2.03
210,Female,2,Sat,Dinner,12.76,2.23
211,Male,3,Sat,Dinner,30.06,2
212,Male,4,Sat,Dinner,25.89,5.16
213,Male,4,Sat,Dinner,48.33,9
214,Female,2,Sat,Dinner,13.27,2.5
215,Female,3,Sat,Dinner,28.17,6.5
216,Female,2,Sat,Dinner,12.9,1.1
217,Male,5,Sat,Dinner,28.15,3
218,Male,2,Sat,Dinner,11.59,1.5
219,Male,2,Sat,Dinner,7.74,1.44
220,Female,4,Sat,Dinner,30.14,3.09
221,Male,2,Fri,Lunch,12.16,2.2
222,Female,2,Fri,Lunch,13.42,3.48
223,Male,1,Fri,Lunch,8.58,1.92
224,Female,3,Fri,Lunch,15.98,3
225,Male,2,Fri,Lunch,13.42,1.58
226,Female,2,Fri,Lunch,16.27,2.5
227,Female,2,Fri,Lunch,10.09,2
228,Male,4,Sat,Dinner,20.45,3
229,Male,2,Sat,Dinner,13.28,2.72
230,Female,2,Sat,Dinner,22.12,2.88
231,Male,4,Sat,Dinner,24.01,2
232,Male,3,Sat,Dinner,15.69,3
233,Male,2,Sat,Dinner,11.61,3.39
234,Male,2,Sat,Dinner,10.77,1.47
235,Male,2,Sat,Dinner,15.53,3
236,Male,2,Sat,Dinner,10.07,1.25
237,Male,2,Sat,Dinner,12.6,1
238,Male,2,Sat,Dinner,32.83,1.17
239,Female,3,Sat,Dinner,35.83,4.67
240,Male,3,Sat,Dinner,29.03,5.92
241,Female,2,Sat,Dinner,27.18,2
242,Male,2,Sat,Dinner,22.67,2
243,Male,2,Sat,Dinner,17.82,1.75
244,Female,2,Thur,Dinner,18.78,3
