brewer_size,numeric_size,year,n_of_brewers,total_barrels,taxable_removals,total_shipped
"1 to 100,000 Barrels",1,2009,1527,5512444.03,4739102.41,130284
"1 to 100,000 Barrels",1,2010,1751,5726876.4860000005,4894425.096,82047
"1 to 100,000 Barrels",1,2011,2011,6179886.843999999,5368629.5309999995,106098
"1 to 100,000 Barrels",1,2012,2359,7301934.120999999,6297754.211000002,188899
"1 to 100,000 Barrels",1,2013,2776,8322874.909,7187915.789000002,114281
"1 to 100,000 Barrels",1,2014,3297,9199661.987999998,7981040.358999999,169501
"1 to 100,000 Barrels",1,2015,3947,10357339.58,8978305.16,127396
"1 to 100,000 Barrels",1,2016,4532,11965475.550000006,10304028.41,197718
"1 to 100,000 Barrels",1,2017,5021,12764142.45,13082219.9,132433
"1 to 100,000 Barrels",1,2018,5723,13329596.049999997,13936039.050000003,139889
"1 to 100,000 Barrels",1,2019,6118,13570526.115,12703734.721,143351
"1,000,001 Barrels and Over",1000000,2009,22,181203285.87,169236706.98,3654518
"1,000,001 Barrels and Over",1000000,2010,22,176222629.8,164375372.7,3696860
"1,000,001 Barrels and Over",1000000,2011,30,170191493.19,157647501.34,4026358
"1,000,001 Barrels and Over",1000000,2012,25,176380080.20999998,163604461.75,4601472
"1,000,001 Barrels and Over",1000000,2013,25,171239157.34,159186985.69,4916566
"1,000,001 Barrels and Over",1000000,2014,26,169885119.73,157422876.07999998,4985522
"1,000,001 Barrels and Over",1000000,2015,25,165059433.25,152258800.57,5731425
"1,000,001 Barrels and Over",1000000,2016,25,163111388.55,149916899.46,6011616
"1,000,001 Barrels and Over",1000000,2017,24,157771814.75,145039248.28,6351544
"1,000,001 Barrels and Over",1000000,2018,25,154824114.32999998,148538279.34999996,6486789
"1,000,001 Barrels and Over",1000000,2019,26,150190673.17000002,141120339.56,4705287
"100,001 to 1,000,000 Barrels",100000,2009,34,10253541.399999999,9004948.41,149563
"100,001 to 1,000,000 Barrels",100000,2010,41,13261896.870000001,11489882.975000001,271535
"100,001 to 1,000,000 Barrels",100000,2011,52,16375442.200000003,14571246.250000002,293567
"100,001 to 1,000,000 Barrels",100000,2012,46,12465187.98,9894527.7,240841
"100,001 to 1,000,000 Barrels",100000,2013,45,12435342.500000004,10623428.43,280282
"100,001 to 1,000,000 Barrels",100000,2014,50,12930356.300000003,10709904.784000002,353633
"100,001 to 1,000,000 Barrels",100000,2015,56,15696245.21,13519087.629999999,352471
"100,001 to 1,000,000 Barrels",100000,2016,51,14763045.120000001,12633266.840000004,281037
"100,001 to 1,000,000 Barrels",100000,2017,50,15045873.27,12531665.899999999,329693
"100,001 to 1,000,000 Barrels",100000,2018,52,14637242.469999999,12425105.239999998,282002
"100,001 to 1,000,000 Barrels",100000,2019,54,15958946.72,13118765.778,218031
